Number,Domain,Datastructure,Looked at?,Algorithm Description,Algorithm Name,Year,Paper/Reference Link,Original paper?,Comments/Distinguishing Features,Wikipedia article namespace (if it exists and isn't in an earlier row),Authors,Constants,Constants Reference,Space,Space Class,Space Reference,Space Units,Model of Computation,Parameters,Prefered Parameter,Build (Time),Build Runtime Class,"Build Notes (constants, amortized?, randomized?, etc.)",Build Time Reference,Insert (Time),Insert Runtime Class,"Insert Notes (constants, amortized?, randomized?, etc.)",Insert Time Reference,Delete (Time),Delete Runtime Class,"Delete Notes (constants, amortized?, randomized?, etc.)",Delete Time Reference,Find (Time),Find Runtime Class,"Find Notes (constants, amortized?, randomized?, etc.)",Find Reference,Successor/Predecessor (Time),Successor/Predecessor Runtime Class,"Successor/Predecessor Notes (constants, amortized?, randomized?, etc.)",Successor/Predecessor Time Reference,Union (Time),Union Runtime Class,"Union Notes (constants, amortized?, randomized?, etc.)",Union Reference,Min/Max (Time),Min/Max Runtime Class,"Min/Max Notes (constants, amortized?, randomized?, etc.)",Max Reference,Increase-Key/Update (Time),Increase-Key/Update Runtime Class,"Increase-Key/Update Notes (constants, amortized?, randomized?, etc.)",Increase-Key/Update Reference,Push (Time),Push Runtime Class,"Push Notes (constants, amortized?, randomized?, etc.)",Push Reference,Pop Most Recent (Time),Pop Most Recent Runtime Class,"Pop Most Recent Notes (constants, amortized?, randomized?, etc.)",Pop Most Recent Reference,Pop Oldest (Time),Pop Oldest Runtime Class,"Pop Oldest Notes (constants, amortized?, randomized?, etc.)",Pop Oldest Reference,Nearest Neighbor (Time),Nearest Neighbor Runtime Class,"Nearest Neighbor Notes (constants, amortized?, randomized?, etc.)",Nearest Neighbor Reference,Range Search (Time),Range Search Runtime Class,"Range Search Notes (constants, amortized?, randomized?, etc.)",Range Search Reference,Query (Time),Query Runtime Class,"Query Notes (constants, amortized?, randomized?, etc.)",Query Reference
,Optimal Binary Search Tree (No Insert/Delete),Multi-Splay Tree,1,Self-balancing BST,,2012,https://link.springer.com/chapter/10.1007/978-3-642-31594-7_11,yes,"O(lg lg n) competitive in dynamic setting, and satisfies the scanning, static optimality, static finger, and working set theorems. Involves general de-amortizing technique",,"Bose, Collette, Fagerberg, Langerman",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n lg n)?,7,,,,,,,,,,,O(lg n),3,worst-case,https://link.springer.com/chapter/10.1007/978-3-642-31594-7_11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optimal Binary Search Tree (No Insert/Delete),Combined BST,1,Self-balancing BST,,2013,http://erikdemaine.org/papers/ComboBST_ICALP2013/,yes,"O(log log n) competitive, satisfies the working set bound, dynamic finger bound, and the unified bound with an additive O(lg lg n) factor",,"Demaine, Iacono, Langerman, Ozkan",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n lg n)?,7,,,,,,,,,,,O(lg n),3,worst-case,http://erikdemaine.org/papers/ComboBST_ICALP2013/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optimal Binary Search Tree (No Insert/Delete),GreedyASS + Tango Tree,1,Self-balancing BST,,2018,https://arxiv.org/abs/1810.01785,yes,O(lg lg n) competitive in dynamic setting; satisfies static optimality and the (weighted) dynamic finger bound,,"Iacono, Langerman",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n lg n)?,7,,,,,,,,,,,O(lg n),3,"worst-case; amortized cost is O(1+lg ((sum of weights of items between s_i and s_(i+1))/min(w_i, w_(i+1))))",https://arxiv.org/abs/1810.01785,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optimal Binary Search Tree (with Insert/Delete),Splay Tree,1,Self-balancing Dynamic BST,,1985,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,yes,conjectured to be optimal up to constant factor (see dynamic optimality conjecture),Splay_tree,"Sleator, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,amortized,,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/self-adjusting.pdf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optimal Binary Search Tree (with Insert/Delete),Unified Structure,1,,,2004,http://erikdemaine.org/papers/Unified_TCS/paper.pdf,yes,O(lg lg n) competitive in dynamic setting; satisfies unified bound,,"Badoiu, Cole, Demaine, Iacono",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n lg n)?,7,,,O(lg n)?,3,amortized,,O(lg n)?,3,amortized,,O(lg n)?,3,amortized,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Optimal Binary Search Tree (with Insert/Delete),Multi-Splay Tree,1,Self-balancing Dynamic BST,,2006,https://dl.acm.org/doi/10.5555/1109557.1109600,yes,O(lg lg n) competitive in dynamic setting,,"Wang, Derryberry, Sleator",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n lg lg n)?,6.01,,,O(lg lg n),2,amortized,https://dl.acm.org/doi/10.5555/1109557.1109600,O(lg lg n),2,amortized,https://dl.acm.org/doi/10.5555/1109557.1109600,O(lg n),3,amortized; worst-case is O((lg n)^2),https://dl.acm.org/doi/10.5555/1109557.1109600,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Binary Tree,Cartesian Tree,1,,,1980,https://dl.acm.org/doi/10.1145/358841.358852,yes,,Cartesian_tree,Vuillemin,,,O(n),6,https://link.springer.com/chapter/10.1007/11672142_5,words,Word RAM,n: number of elements,n,O(n),6,,https://wcipeg.com/wiki/Cartesian_tree,O(lg n),3,amortized,https://link.springer.com/chapter/10.1007/11672142_5,O(lg n),3,amortized,https://link.springer.com/chapter/10.1007/11672142_5,O(n),6,worst-case,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Binary Tree/Cryptography,Merkle Tree,1,,,1987,https://link.springer.com/chapter/10.1007/3-540-48184-2_32,yes,,Merkle_tree,Merkle,,,O(n),6,https://brilliant.org/wiki/merkle-tree/,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,https://brilliant.org/wiki/merkle-tree/,O(lg n),3,,https://brilliant.org/wiki/merkle-tree/,O(lg n),3,,https://brilliant.org/wiki/merkle-tree/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,O(n),6,Synchronization of files (average case is O(lg n),https://brilliant.org/wiki/merkle-tree/
,Priority Queue,Priority Unsorted List,1,"List of elements, unsorted",,?,?,,,Priority_queue,,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,,https://en.wikipedia.org/wiki/Priority_queue#Naive_implementations,O(1),1,,https://en.wikipedia.org/wiki/Priority_queue#Naive_implementations,O(n),6,,https://en.wikipedia.org/wiki/Priority_queue#Naive_implementations,,,,,,,,,O(n)?,6,,,O(n),6,,,O(n),6,,,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Priority Sorted List,1,"List of elements, sorted",,?,?,,,,,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n lg n),7,,,O(lg n),3,,,O(1),1,,https://en.wikipedia.org/wiki/Priority_queue#Naive_implementations,,,,,,,,,O(n)?,6,(mergesort-like merge step),,O(1),1,,,O(lg n)?,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Binary Heap,1,Heap (assume this is a max heap),,1964,https://dl.acm.org/doi/10.1145/512274.512284,yes,,Binary_heap,Forsythe,,,O(n),6,[CLRS],words,Word RAM,n: number of elements,n,O(n),6,,https://www.deepdyve.com/lp/ios-press/elementary-yet-precise-worst-case-analysis-of-floyd-s-heap-50NW30HMxU,O(lg n),3,,https://lusy.fri.uni-lj.si/sites/lusy.fri.uni-lj.si/files/publications/jekovec2012-tr01.pdf,O(lg n),3,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,,,,,,,,,O(n),6,,https://xlinux.nist.gov/dads/HTML/binaryheap.html,O(1),1,only max; also kept track of in the root,,O(lg n),3,,https://lusy.fri.uni-lj.si/sites/lusy.fri.uni-lj.si/files/publications/jekovec2012-tr01.pdf,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,d-ary Heap,1,Heap (assume this is a max heap),,1975,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,yes,,D-ary_heap,Johnson,,,O(n),6,,words,Word RAM,"n: number of elements
d: max number of children per node",n,O((n lg n)/(lg d))?,7,,,O((lg n)/(lg d)),3,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,O((d lg n)/(lg d)),3,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,,,,,,,,,O(n)?,6,,,O(1),1,only max,,O((lg n)/(lg d)),3,,https://www.sciencedirect.com/science/article/pii/0020019075900010?via%3Dihub,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Height-biased Leftist Heap,1,Heap (assume this is a max heap),,1972,https://www.proquest.com/docview/288011272,yes,,Leftist_tree,Crane,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(lg n),3,,https://www.proquest.com/docview/288011272,O(lg n),3,,https://www.proquest.com/docview/288011272,,,,,,,,,O(lg n),3,,https://www.proquest.com/docview/288011272,O(1),1,only max,,O(lg n),3,(delete followed by insert?),,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Weight-biased Leftist Heap,1,Heap (assume this is a max heap),,1998,https://dl.acm.org/doi/10.1145/297096.297111,yes,,,"Cho, Sahni",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(lg n),3,,https://dl.acm.org/doi/10.1145/297096.297111,O(lg n),3,delete runtime only for max,https://dl.acm.org/doi/10.1145/297096.297111,,,,,,,,,O(lg n),3,,https://dl.acm.org/doi/10.1145/297096.297111,O(1),1,only max,,O(n)?,6,(delete followed by insert?),,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Binomial Heap,1,Heap (assume this is a max heap),,1978,https://dl.acm.org/doi/10.1145/359460.359478,yes,,Binomial_heap,Vuillemin,,,O(n),6,https://dl.acm.org/doi/pdf/10.1145/359460.359478,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(1),1,amortized,https://epubs.siam.org/doi/epdf/10.1137/0207026,O(lg n),3,,[CLRS],,,,,,,,,O(lg n),3,,https://epubs.siam.org/doi/epdf/10.1137/0207026,O(1),1,only max,,O(lg n),3,,https://epubs.siam.org/doi/epdf/10.1137/0207026,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Fibonacci Heap,1,Heap (assume this is a max heap),,1987,https://dl.acm.org/doi/10.1145/28869.28874,yes,,Fibonacci_heap,"Fredman, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://dl.acm.org/doi/10.1145/28869.28874,O(lg n),3,"amortized; for non-max, assumes position is known",https://dl.acm.org/doi/10.1145/28869.28874,,,,,,,,,O(1),1,amortized,https://dl.acm.org/doi/10.1145/28869.28874,O(1),1,only max,https://dl.acm.org/doi/10.1145/28869.28874,O(1),1,amortized,https://dl.acm.org/doi/10.1145/28869.28874,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Rank-Relaxed Heap,1,Heap (assume this is a max heap),,1988,https://dl.acm.org/doi/pdf/10.1145/50087.50096,yes,parallelizable,,"Driscoll, Gabow, Shrairman, Tarjan",,,O(n),6,https://dl.acm.org/doi/pdf/10.1145/50087.50096,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,"amortized (based on ""decrease key"" runtime)",https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,O(1),1,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3,only max,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(1),1,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Run-Relaxed Heap,1,Heap (assume this is a max heap),,1988,https://dl.acm.org/doi/pdf/10.1145/50087.50096,yes,"parallelizable, non-amortized (besides possibly union)",,"Driscoll, Gabow, Shrairman, Tarjan",,,O(n),6,https://dl.acm.org/doi/pdf/10.1145/50087.50096,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,"based on ""decrease key"" runtime",https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3,,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,O(lg n)?,3,amortized,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(lg n),3,only max,https://dl.acm.org/doi/pdf/10.1145/50087.50096,O(1),1,,https://dl.acm.org/doi/pdf/10.1145/50087.50096,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Pairing Heap,1,Heap (assume this is a max heap),,1986,https://www.cs.cmu.edu/~sleator/papers/pairing-heaps.pdf,yes,multiway; exact analysis still unknown,Pairing_heap,"Fredman, Sedgewick, Sleator, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(2^(2*sqrt(lg lg n))),2.95,amortized,http://web.eecs.umich.edu/~pettie/papers/focs05.pdf,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/pairing-heaps.pdf,,,,,,,,,O(2^(2*sqrt(lg lg n))),2.95,amortized,http://web.eecs.umich.edu/~pettie/papers/focs05.pdf,O(1),1,only max,https://www.cs.cmu.edu/~sleator/papers/pairing-heaps.pdf,O(2^(2*sqrt(lg lg n))),2.95,amortized,http://web.eecs.umich.edu/~pettie/papers/focs05.pdf,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Pairing Heap (lazy),1,Heap (assume this is a max heap),,2017,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,yes,variant of original pairing heap,,Elmasry,,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(1),1,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(lg n),3,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,,,,,,,,,O(lg lg n),2,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(1),1,only max,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,O(lg lg n),2,amortized,https://www.researchgate.net/publication/321068476_Toward_Optimal_Self-Adjusting_Heaps,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Brodal Heap,1,Heap (assume this is a max heap),,1996,https://dl.acm.org/doi/pdf/10.5555/313852.313883,yes,first heap to achieve certain runtime bounds without amortization,Brodal_queue,Brodal,,,O(n),6,https://dl.acm.org/doi/pdf/10.5555/313852.313883,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,,https://dl.acm.org/doi/pdf/10.5555/313852.313883,O(lg n),3,,https://dl.acm.org/doi/pdf/10.5555/313852.313883,,,,,,,,,O(1),1,,https://dl.acm.org/doi/pdf/10.5555/313852.313883,O(1),1,only max,https://dl.acm.org/doi/pdf/10.5555/313852.313883,O(1),1,,https://dl.acm.org/doi/pdf/10.5555/313852.313883,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,One-Pass Binomial Heap,1,Heap (assume this is a max heap),,2009,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,yes,,,"Haeupler, Sen, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(lg n),3,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,,,,,,,,,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(1),1,only max,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(lg n)?,3,amortized,,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Rank-Pairing Heap,1,Heap (assume this is a max heap),,2009,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,yes,,Rank-pairing_heap,"Haeupler, Sen, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(lg n),3,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,,,,,,,,,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(1),1,only max,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-04128-0_59,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Strict Fibonacci Heap,1,Heap (assume this is a max heap),,2012,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,yes,pointer-based version of Fibonacci heap,,"Brodal, Lagogiannis, Tarjan",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,O(lg n),3,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,,,,,,,,,O(1),1,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,O(1),1,only max,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,O(1),1,,https://www.cs.au.dk/~gerth/papers/stoc12.pdf,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Quake Heap,1,Heap (assume this is a max heap),,2013,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,yes,author notes its simplicity,,Chan,,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,O(lg n),3,amortized and for max only,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,,,,,,,,,O(1),1,amortized,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,O(1),1,only max,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,O(1),1,amortized,https://tmc.web.engr.illinois.edu/heap_ianfest.pdf,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Violation Heap,1,Heap (assume this is a max heap),,2010,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,yes,author notes its practicality,,Elmasry,,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,O(lg n),3,amortized and for max only,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,,,,,,,,,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,O(1),1,only max,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,O(1),1,amortized,https://link.springer.com/chapter/10.1007/978-3-642-14031-0_51,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Thin Heap,1,Heap (assume this is a max heap),,1999,https://www.cs.princeton.edu/research/techreps/TR-597-99,yes,more structure and less fields per node than Fibonacci heaps,,"Kaplan, Tarjan",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(lg n),3,non-amortized (see section 4),https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,,,,,,,,,O(1),1,,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(1),1,only max,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(1),1,amortized,https://www.cs.princeton.edu/research/techreps/TR-597-99,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Fat Heap,1,Heap (assume this is a max heap),,1999,https://www.cs.princeton.edu/research/techreps/TR-597-99,yes,author notes its simplicity with respect to run-relaxed heaps,,"Kaplan, Tarjan",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(lg n),3,,https://www.cs.princeton.edu/research/techreps/TR-597-99,,,,,,,,,O(lg n),3,,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(lg n),3,only max,https://www.cs.princeton.edu/research/techreps/TR-597-99,O(1),1,,https://www.cs.princeton.edu/research/techreps/TR-597-99,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Thick Heap,1,Heap (assume this is a max heap),,2008,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,yes,similar to a thin heap,,"Kaplan, Tarjan",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n)?,6,"Derivable from ""insert"" runtime",,O(1)?,1,amortized,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(lg n),3,non-amortized (see section 4),https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,,,,,,,,,O(1)?,1,,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(1),1,only max,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,O(1)?,1,amortized,https://dl.acm.org/doi/pdf/10.1145/1328911.1328914,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Trinomial Heap,1,Heap (assume this is a max heap),,2000,https://dl.acm.org/doi/abs/10.5555/646718.702069,yes,author claims simpler than relaxed heaps,,Takaoka,,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(1),1,amortized,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(lg n),3,,https://dl.acm.org/doi/abs/10.5555/646718.702069,,,,,,,,,O(lg n)??,3,,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(1),1,only max,https://dl.acm.org/doi/abs/10.5555/646718.702069,O(1),1,,https://dl.acm.org/doi/abs/10.5555/646718.702069,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Top-Down Skew Heap,1,Heap (assume this is a max heap),,1986,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,yes,,Skew_heap,"Sleator, Tarjan",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""union"" runtime (as recursion is T(n)=2T(n/2)+O(lg n))",,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,,,,,,,,,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(1),1,only max,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n)?,3,amortized; can be achieved via delete followed by insert,,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Bottom-Up Skew Heap,1,Heap (assume this is a max heap),,1986,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,yes,,,"Sleator, Tarjan",,,O(n)?,6,,words,Word RAM,n: number of elements,n,O(n),6,"Derivable from ""insert"" runtime",,O(1),1,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n),3,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,,,,,,,,,O(1),1,amortized,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(1),1,only max,https://www.cs.cmu.edu/~sleator/papers/Adjusting-Heaps.htm,O(lg n)?,3,amortized; can be achieved via delete followed by insert,,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Weak Heap,1,Heap (assume this is a max heap),,1993,https://link.springer.com/article/10.1007/BF01990520,yes,,Weak_heap,Dutton,,,O(n),6,https://link.springer.com/article/10.1007/BF01990520,words,Word RAM,n: number of elements,n,O(n),6,"(essentially n-1 ""Union""s)",https://link.springer.com/article/10.1007/BF01990520,O(lg n),3,,https://web.archive.org/web/20170811001458/http://www.cphstl.dk/Paper/Policy-based-benchmarking/policy.pdf,O(lg n),3,,https://web.archive.org/web/20170811001458/http://www.cphstl.dk/Paper/Policy-based-benchmarking/policy.pdf,,,,,,,,,O(1),1,,https://link.springer.com/article/10.1007/BF01990520,O(1),1,only max; also kept track of in the root,https://link.springer.com/article/10.1007/BF01990520,O(lg n),3,,https://web.archive.org/web/20170811001458/http://www.cphstl.dk/Paper/Policy-based-benchmarking/policy.pdf,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Weak Heap with Bulk Insertions,1,Heap (assume this is a max heap),,2012,https://www.sciencedirect.com/science/article/pii/S1570866712000792,yes,,,"Edelkamp, Elmasry, Katajainen",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"(essentially n-1 ""Union""s)",https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(1),1,amortized; constant of 5,https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(lg n),3,,https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,O(1),1,,https://link.springer.com/article/10.1007/BF01990520,O(1),1,only max; also kept track of in the root,https://link.springer.com/article/10.1007/BF01990520,O(lg n)?,3,,,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Run-Relaxed Weak Heap,1,Heap (assume this is a max heap),,2012,https://www.sciencedirect.com/science/article/pii/S1570866712000792,yes,,,"Edelkamp, Elmasry, Katajainen",,,O(n),6,,words,Word RAM,n: number of elements,n,O(n),6,"derivable from ""insert"" runtime",,O(1),1,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(lg n),3,"for max, constant of 2 (on # comparisons)",https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,O(1),1,constant of 1? (on # comparisons),https://link.springer.com/article/10.1007/BF01990520,O(1)?,1,only max; also kept track of in the root,,O(1),1,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Rank-Relaxed Weak Heap,1,Heap (assume this is a max heap),,2012,https://www.sciencedirect.com/science/article/pii/S1570866712000792,yes,,,"Edelkamp, Elmasry, Katajainen",,,4n + O(lg n),6,https://www.sciencedirect.com/science/article/pii/S1570866712000792,words,Word RAM,n: number of elements,n,O(n),6,"derivable from ""insert"" runtime",,O(1),1,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,O(lg n),3,"for max, constant of 1.5 (on # comparisons)",https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,O(1),1,constant of 1? (on # comparisons),https://link.springer.com/article/10.1007/BF01990520,O(1)?,1,only max; also kept track of in the root,,O(1),1,constant of 2 (on # comparisons),https://www.sciencedirect.com/science/article/pii/S1570866712000792,,,,,,,,,,,,,,,,,,,,,,,,
,Priority Queue,Hash Heap,0.001,Heap (assume this is a max heap),,,https://xlinux.nist.gov/dads/HTML/hashheap.html,no,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
